State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9834688899182153	0.005527014247271705	0.0	5.80581560390543E-4	0.0	0.0	0.009493271807947658	8.397552230205863E-4	8.848987326251038E-5	1.9973698916124966E-6
2	0.07239065274631648	0.9189102909188517	0.005129002252415349	0.0	0.0	0.0	0.0025036159494112044	0.0010256124312499875	3.310803132891087E-5	7.717670426415265E-6
3	0.0	0.05668741826058022	0.8451355661871685	0.07402472301913829	0.015970255534943138	0.002121785413127051	0.0	0.004983751220588386	0.0	0.0010765003644544907
4	0.00633581942358582	0.0	0.0057875265491509	0.9646572476363484	0.011384702185949388	0.005484230769113397	0.00550679689918358	5.120038033028636E-4	7.39793771238348E-5	2.576933562418244E-4
5	0.0	0.0	0.0030706413269681863	0.027553606964826904	0.91754156711341	0.04992131626263887	0.0	0.0	1.2037455920476485E-5	0.001900830876235573
6	0.0	0.0	9.443862142373001E-4	0.03318253773863048	0.12232327927723119	0.7678175308038913	0.007360523572091938	0.0035691489311823225	0.0	0.06480259346273544
7	0.2002744475180202	0.00369678367368476	6.47958383896996E-4	0.010363684431655367	0.0	0.0024141904378366945	0.6944289053205299	0.08332160807598049	0.004702775569696612	1.49646588698799E-4
8	0.04710570671162001	0.004291423690989439	0.001680315049367529	0.0030130379639050947	0.0	0.0033457398307674578	0.22771924098242327	0.592879640290404	0.11766134613234604	0.0023035493481771167
9	0.005824039918339487	1.9247744686924626E-4	1.7698562503047802E-5	5.237228264852903E-4	1.116330188093165E-5	0.0	0.01681136986931804	0.14652450874391884	0.7887630520457904	0.041331967284894584
10	1.3748124565889387E-4	3.254338250961997E-7	0.0011438115464876134	0.0027413286664445743	0.008833410467872255	0.11452097127721884	0.0010601926251567837	0.004614899416983222	0.061265732754249375	0.8056818465661034
